pusula,ga_kodu,secim,zaman
7b853b7e-1d99-4f44-9132-b766b703eb93,GA-1,D,2026-08-09T10:24:11.099Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-1,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-3,A,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-RX,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-RX/Kanal,A,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-NODE,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-CROSS,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-POC,C,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-DIG,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-BAND-1,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-BAND-2,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-BAND-3,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-ARAC,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-POTA,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-AREDN,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-LORA,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-4,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-6,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-SK,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-CALL,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-CIHAZ,A,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-EMCOMM,D,2026-08-09T10:25:04.588Z
de15fc2c-5f21-4963-8a47-b6cc7706512e,GA-ENFORC,B,2026-08-09T10:25:04.588Z
9069e684-06d0-4abf-ba92-3321fe53841d,GA-1,D,2026-08-09T10:25:33.362Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-1,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-3,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-RX,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-RX/Kanal,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-NODE,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-CROSS,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-POC,B,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-DIG,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-ENFORC,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-BAND-1,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-BAND-2,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-BAND-3,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-ARAC,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-POTA,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-AREDN,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-LORA,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-4,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-6,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-SK,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-CALL,A,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-CIHAZ,D,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-EMCOMM,E,2026-08-09T10:26:17.258Z
c530e922-7e98-4068-9fcb-bc9e12ef1ce5,GA-EMCOMM,C,2026-08-09T10:26:17.258Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-1,D,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-3,A,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-RX,D,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-RX/Kanal,A,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-NODE,D,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-CROSS,A,2026-08-09T10:29:56.785Z
e7f1de8c-5dc5-4e70-840f-f5b3fcdf1d5a,GA-POC,D,2026-08-09T10:29:56.785Z
